danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.446,0.952,6,-5.321,1,0.0523,0.0901,0.0857,0.112,0.624,125.303,audio_features,7snQQk1zcKl8gZ92AnueZW,spotify:track:7snQQk1zcKl8gZ92AnueZW,https://api.spotify.com/v1/tracks/7snQQk1zcKl8gZ92AnueZW,https://api.spotify.com/v1/audio-analysis/7snQQk1zcKl8gZ92AnueZW,356067,4
0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,audio_features,78lgmZwycJ3nzsdgmPPGNx,spotify:track:78lgmZwycJ3nzsdgmPPGNx,https://api.spotify.com/v1/tracks/78lgmZwycJ3nzsdgmPPGNx,https://api.spotify.com/v1/audio-analysis/78lgmZwycJ3nzsdgmPPGNx,146250,4
0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331,audio_features,5BIMPccDwShpXq784RJlJp,spotify:track:5BIMPccDwShpXq784RJlJp,https://api.spotify.com/v1/tracks/5BIMPccDwShpXq784RJlJp,https://api.spotify.com/v1/audio-analysis/5BIMPccDwShpXq784RJlJp,331573,4
0.543,0.41,8,-13.253,1,0.0268,0.157,0.0,0.0996,0.817,95.363,audio_features,5BFWQXNGPYadZxNKxY1UfU,spotify:track:5BFWQXNGPYadZxNKxY1UfU,https://api.spotify.com/v1/tracks/5BFWQXNGPYadZxNKxY1UfU,https://api.spotify.com/v1/audio-analysis/5BFWQXNGPYadZxNKxY1UfU,184893,4
0.904,0.463,6,-11.552,1,0.106,0.228,4.05e-05,0.39,0.926,115.367,audio_features,0GDM5mJEisxmmyYGuC6Cla,spotify:track:0GDM5mJEisxmmyYGuC6Cla,https://api.spotify.com/v1/tracks/0GDM5mJEisxmmyYGuC6Cla,https://api.spotify.com/v1/audio-analysis/0GDM5mJEisxmmyYGuC6Cla,185173,4
0.744,0.634,4,-11.377,1,0.0468,0.559,7.11e-06,0.118,0.774,106.316,audio_features,1rnI4kaqmuyaaShJTDyBE1,spotify:track:1rnI4kaqmuyaaShJTDyBE1,https://api.spotify.com/v1/tracks/1rnI4kaqmuyaaShJTDyBE1,https://api.spotify.com/v1/audio-analysis/1rnI4kaqmuyaaShJTDyBE1,284027,4
0.336,0.787,10,-8.803,0,0.0732,0.0793,0.0648,0.32,0.383,140.003,audio_features,6i4Qi1mJxXjqNIL9HfJhRs,spotify:track:6i4Qi1mJxXjqNIL9HfJhRs,https://api.spotify.com/v1/tracks/6i4Qi1mJxXjqNIL9HfJhRs,https://api.spotify.com/v1/audio-analysis/6i4Qi1mJxXjqNIL9HfJhRs,462093,4
0.252,0.259,8,-14.173,1,0.031,0.831,7.21e-06,0.217,0.124,144.633,audio_features,45lTac7VjsyP92PUw9OnLN,spotify:track:45lTac7VjsyP92PUw9OnLN,https://api.spotify.com/v1/tracks/45lTac7VjsyP92PUw9OnLN,https://api.spotify.com/v1/audio-analysis/45lTac7VjsyP92PUw9OnLN,155267,3
0.448,0.691,7,-6.957,1,0.0286,0.286,0.00111,0.945,0.633,88.836,audio_features,0LfJkvPNCNEMLpZJgDQiV1,spotify:track:0LfJkvPNCNEMLpZJgDQiV1,https://api.spotify.com/v1/tracks/0LfJkvPNCNEMLpZJgDQiV1,https://api.spotify.com/v1/audio-analysis/0LfJkvPNCNEMLpZJgDQiV1,153200,4
0.473,0.783,10,-10.671,0,0.0869,0.0125,0.475,0.268,0.124,91.976,audio_features,54yLLvpezvPO1lA3GspiZj,spotify:track:54yLLvpezvPO1lA3GspiZj,https://api.spotify.com/v1/tracks/54yLLvpezvPO1lA3GspiZj,https://api.spotify.com/v1/audio-analysis/54yLLvpezvPO1lA3GspiZj,340640,4
0.505,0.258,11,-12.193,0,0.0297,0.805,0.0,0.12,0.641,141.003,audio_features,0ju1jP0cSPJ8tmojYBEI89,spotify:track:0ju1jP0cSPJ8tmojYBEI89,https://api.spotify.com/v1/tracks/0ju1jP0cSPJ8tmojYBEI89,https://api.spotify.com/v1/audio-analysis/0ju1jP0cSPJ8tmojYBEI89,254305,4
0.581,0.28,4,-9.091,0,0.0381,0.936,1.56e-05,0.305,0.813,137.831,audio_features,5GjPQ0eI7AgmOnADn1EO6Q,spotify:track:5GjPQ0eI7AgmOnADn1EO6Q,https://api.spotify.com/v1/tracks/5GjPQ0eI7AgmOnADn1EO6Q,https://api.spotify.com/v1/audio-analysis/5GjPQ0eI7AgmOnADn1EO6Q,126533,4
0.271,0.823,2,-9.629,1,0.0928,0.405,0.00744,0.55,0.255,108.592,audio_features,5d7gSSTkL4syrnxli8dLYJ,spotify:track:5d7gSSTkL4syrnxli8dLYJ,https://api.spotify.com/v1/tracks/5d7gSSTkL4syrnxli8dLYJ,https://api.spotify.com/v1/audio-analysis/5d7gSSTkL4syrnxli8dLYJ,248453,4
0.306,0.722,0,-5.963,1,0.034,0.0519,0.0,0.117,0.41,174.732,audio_features,4rcHWl68ai6KvpXlc8vbnE,spotify:track:4rcHWl68ai6KvpXlc8vbnE,https://api.spotify.com/v1/tracks/4rcHWl68ai6KvpXlc8vbnE,https://api.spotify.com/v1/audio-analysis/4rcHWl68ai6KvpXlc8vbnE,200293,4
0.641,0.784,0,-6.38,1,0.0366,0.0498,0.00934,0.381,0.488,102.676,audio_features,41OIyMJsSFMjdjZjL4tHEx,spotify:track:41OIyMJsSFMjdjZjL4tHEx,https://api.spotify.com/v1/tracks/41OIyMJsSFMjdjZjL4tHEx,https://api.spotify.com/v1/audio-analysis/41OIyMJsSFMjdjZjL4tHEx,238148,4
0.41,0.761,4,-9.453,0,0.0687,0.0685,0.00772,0.0758,0.392,132.923,audio_features,0YveezON7jpiaHA8fnUHxN,spotify:track:0YveezON7jpiaHA8fnUHxN,https://api.spotify.com/v1/tracks/0YveezON7jpiaHA8fnUHxN,https://api.spotify.com/v1/audio-analysis/0YveezON7jpiaHA8fnUHxN,510573,4
0.575,0.912,7,-7.275,0,0.0393,0.0916,0.00211,0.0562,0.843,117.399,audio_features,4nXkbcTj3nyww1cHkw5RAP,spotify:track:4nXkbcTj3nyww1cHkw5RAP,https://api.spotify.com/v1/tracks/4nXkbcTj3nyww1cHkw5RAP,https://api.spotify.com/v1/audio-analysis/4nXkbcTj3nyww1cHkw5RAP,207267,4
0.324,0.335,0,-15.595,1,0.0355,0.099,1.08e-06,0.0995,0.141,119.513,audio_features,0PsbWiVtix5FoTZ1s00mEl,spotify:track:0PsbWiVtix5FoTZ1s00mEl,https://api.spotify.com/v1/tracks/0PsbWiVtix5FoTZ1s00mEl,https://api.spotify.com/v1/audio-analysis/0PsbWiVtix5FoTZ1s00mEl,367000,4
0.649,0.434,0,-9.529,0,0.0267,0.764,2.44e-06,0.0822,0.572,108.754,audio_features,5khAYmr8HHFwI3sp0Lw9wp,spotify:track:5khAYmr8HHFwI3sp0Lw9wp,https://api.spotify.com/v1/tracks/5khAYmr8HHFwI3sp0Lw9wp,https://api.spotify.com/v1/audio-analysis/5khAYmr8HHFwI3sp0Lw9wp,246960,4
0.796,0.772,11,-8.205,0,0.0491,0.00585,0.691,0.0952,0.514,128.969,audio_features,3m2J6cF3ueFTKt3RY6EH1s,spotify:track:3m2J6cF3ueFTKt3RY6EH1s,https://api.spotify.com/v1/tracks/3m2J6cF3ueFTKt3RY6EH1s,https://api.spotify.com/v1/audio-analysis/3m2J6cF3ueFTKt3RY6EH1s,287133,4
0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,audio_features,5T8EDUDqKcs6OSOwEsfqG7,spotify:track:5T8EDUDqKcs6OSOwEsfqG7,https://api.spotify.com/v1/tracks/5T8EDUDqKcs6OSOwEsfqG7,https://api.spotify.com/v1/audio-analysis/5T8EDUDqKcs6OSOwEsfqG7,209413,4
0.655,0.606,7,-10.385,1,0.0285,0.0603,0.0789,0.0757,0.765,110.061,audio_features,608xszaAxVh4m7NcKJiAbF,spotify:track:608xszaAxVh4m7NcKJiAbF,https://api.spotify.com/v1/tracks/608xszaAxVh4m7NcKJiAbF,https://api.spotify.com/v1/audio-analysis/608xszaAxVh4m7NcKJiAbF,291686,4
0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,audio_features,57JVGBtBLCfHw2muk5416J,spotify:track:57JVGBtBLCfHw2muk5416J,https://api.spotify.com/v1/tracks/57JVGBtBLCfHw2muk5416J,https://api.spotify.com/v1/audio-analysis/57JVGBtBLCfHw2muk5416J,214653,4
0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,audio_features,2374M0fQpWi3dLnB54qaLX,spotify:track:2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/audio-analysis/2374M0fQpWi3dLnB54qaLX,295893,4
0.406,0.188,7,-13.039,1,0.0324,0.852,0.0,0.105,0.629,120.757,audio_features,3D8dwH690MXQRhtIZTSS9c,spotify:track:3D8dwH690MXQRhtIZTSS9c,https://api.spotify.com/v1/tracks/3D8dwH690MXQRhtIZTSS9c,https://api.spotify.com/v1/audio-analysis/3D8dwH690MXQRhtIZTSS9c,245533,4
0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,audio_features,40riOy7x9W7GXjyGp4pjAv,spotify:track:40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/audio-analysis/40riOy7x9W7GXjyGp4pjAv,391376,4
0.751,0.501,5,-12.151,1,0.0551,0.234,0.112,0.0467,0.902,167.057,audio_features,4o6BgsqLIBViaGVbx5rbRk,spotify:track:4o6BgsqLIBViaGVbx5rbRk,https://api.spotify.com/v1/tracks/4o6BgsqLIBViaGVbx5rbRk,https://api.spotify.com/v1/audio-analysis/4o6BgsqLIBViaGVbx5rbRk,190627,4
0.577,0.808,1,-7.04,0,0.039,0.0338,1.33e-05,0.221,0.869,151.008,audio_features,1oYYd2gnWZYrt89EBXdFiO,spotify:track:1oYYd2gnWZYrt89EBXdFiO,https://api.spotify.com/v1/tracks/1oYYd2gnWZYrt89EBXdFiO,https://api.spotify.com/v1/audio-analysis/1oYYd2gnWZYrt89EBXdFiO,290280,4
0.529,0.459,8,-11.081,1,0.0295,0.356,0.257,0.0778,0.466,115.04,audio_features,75UFToDSbSOjvIAVIL86oI,spotify:track:75UFToDSbSOjvIAVIL86oI,https://api.spotify.com/v1/tracks/75UFToDSbSOjvIAVIL86oI,https://api.spotify.com/v1/audio-analysis/75UFToDSbSOjvIAVIL86oI,288680,4
0.228,0.224,7,-12.749,1,0.0311,0.946,0.000222,0.273,0.18,60.3,audio_features,2TjnCxxQRYn56Ye8gkUKiW,spotify:track:2TjnCxxQRYn56Ye8gkUKiW,https://api.spotify.com/v1/tracks/2TjnCxxQRYn56Ye8gkUKiW,https://api.spotify.com/v1/audio-analysis/2TjnCxxQRYn56Ye8gkUKiW,213713,4
0.34,0.144,5,-14.502,1,0.0419,0.684,0.00112,0.101,0.147,81.179,audio_features,5mb6SzBnxv1ywFSH9V3uxd,spotify:track:5mb6SzBnxv1ywFSH9V3uxd,https://api.spotify.com/v1/tracks/5mb6SzBnxv1ywFSH9V3uxd,https://api.spotify.com/v1/audio-analysis/5mb6SzBnxv1ywFSH9V3uxd,312067,4
0.711,0.328,9,-9.612,1,0.0302,0.538,0.00388,0.113,0.515,118.018,audio_features,0AnoJZJLrWGhrPVG7F5Vmi,spotify:track:0AnoJZJLrWGhrPVG7F5Vmi,https://api.spotify.com/v1/tracks/0AnoJZJLrWGhrPVG7F5Vmi,https://api.spotify.com/v1/audio-analysis/0AnoJZJLrWGhrPVG7F5Vmi,224644,4
0.851,0.551,4,-5.177,1,0.0396,0.151,0.0,0.0827,0.807,131.922,audio_features,66S14BkJDxgkYxLl5DCqOz,spotify:track:66S14BkJDxgkYxLl5DCqOz,https://api.spotify.com/v1/tracks/66S14BkJDxgkYxLl5DCqOz,https://api.spotify.com/v1/audio-analysis/66S14BkJDxgkYxLl5DCqOz,219467,4
0.32,0.412,4,-12.75,0,0.0316,0.188,0.0339,0.0644,0.282,132.986,audio_features,7FtRUrOEDUHTvenvp1BqZo,spotify:track:7FtRUrOEDUHTvenvp1BqZo,https://api.spotify.com/v1/tracks/7FtRUrOEDUHTvenvp1BqZo,https://api.spotify.com/v1/audio-analysis/7FtRUrOEDUHTvenvp1BqZo,396467,4
0.645,0.598,1,-13.18,0,0.0335,0.221,3.53e-06,0.0721,0.913,105.929,audio_features,7Ar4G7Ci11gpt6sfH9Cgz5,spotify:track:7Ar4G7Ci11gpt6sfH9Cgz5,https://api.spotify.com/v1/tracks/7Ar4G7Ci11gpt6sfH9Cgz5,https://api.spotify.com/v1/audio-analysis/7Ar4G7Ci11gpt6sfH9Cgz5,227267,4
0.612,0.876,4,-8.323,1,0.0515,0.644,1.2e-05,0.383,0.909,116.104,audio_features,5oVs4alUctAl0B0QhWY0I2,spotify:track:5oVs4alUctAl0B0QhWY0I2,https://api.spotify.com/v1/tracks/5oVs4alUctAl0B0QhWY0I2,https://api.spotify.com/v1/audio-analysis/5oVs4alUctAl0B0QhWY0I2,218467,4
0.339,0.346,4,-12.083,0,0.0445,0.0834,0.194,0.214,0.07,135.762,audio_features,1OFjv0Cq2JeK3FPvPG98rJ,spotify:track:1OFjv0Cq2JeK3FPvPG98rJ,https://api.spotify.com/v1/tracks/1OFjv0Cq2JeK3FPvPG98rJ,https://api.spotify.com/v1/audio-analysis/1OFjv0Cq2JeK3FPvPG98rJ,602531,4
0.492,0.552,7,-12.321,0,0.0341,0.0151,3.74e-05,0.0723,0.655,105.623,audio_features,1CQqupcyMg7176PPmIVmSj,spotify:track:1CQqupcyMg7176PPmIVmSj,https://api.spotify.com/v1/tracks/1CQqupcyMg7176PPmIVmSj,https://api.spotify.com/v1/audio-analysis/1CQqupcyMg7176PPmIVmSj,257227,4
0.408,0.48,9,-11.017,1,0.0266,0.155,1.82e-05,0.0877,0.19,156.344,audio_features,5WwqdeavrQrbeAMDxGawse,spotify:track:5WwqdeavrQrbeAMDxGawse,https://api.spotify.com/v1/tracks/5WwqdeavrQrbeAMDxGawse,https://api.spotify.com/v1/audio-analysis/5WwqdeavrQrbeAMDxGawse,294773,4
0.697,0.813,11,-8.89,0,0.0315,0.0989,0.0232,0.583,0.85,95.301,audio_features,7kv7zBjMtVf0eIJle2VZxn,spotify:track:7kv7zBjMtVf0eIJle2VZxn,https://api.spotify.com/v1/tracks/7kv7zBjMtVf0eIJle2VZxn,https://api.spotify.com/v1/audio-analysis/7kv7zBjMtVf0eIJle2VZxn,180027,4
0.668,0.906,11,-4.881,0,0.17,0.214,0.00245,0.135,0.507,135.653,audio_features,2d4e45fmUnguxh6yqC7gNT,spotify:track:2d4e45fmUnguxh6yqC7gNT,https://api.spotify.com/v1/tracks/2d4e45fmUnguxh6yqC7gNT,https://api.spotify.com/v1/audio-analysis/2d4e45fmUnguxh6yqC7gNT,231933,4
0.264,0.294,7,-11.941,0,0.028,0.772,0.686,0.107,0.0402,137.937,audio_features,6pnwfWyaWjQiHCKTiZLItr,spotify:track:6pnwfWyaWjQiHCKTiZLItr,https://api.spotify.com/v1/tracks/6pnwfWyaWjQiHCKTiZLItr,https://api.spotify.com/v1/audio-analysis/6pnwfWyaWjQiHCKTiZLItr,811077,3
0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,audio_features,2LawezPeJhN4AWuSB0GtAU,spotify:track:2LawezPeJhN4AWuSB0GtAU,https://api.spotify.com/v1/tracks/2LawezPeJhN4AWuSB0GtAU,https://api.spotify.com/v1/audio-analysis/2LawezPeJhN4AWuSB0GtAU,160133,4
0.651,0.699,4,-7.867,0,0.0277,0.039,0.0659,0.124,0.832,133.793,audio_features,5Ei9o2fHEnfHb84YrPuz4v,spotify:track:5Ei9o2fHEnfHb84YrPuz4v,https://api.spotify.com/v1/tracks/5Ei9o2fHEnfHb84YrPuz4v,https://api.spotify.com/v1/audio-analysis/5Ei9o2fHEnfHb84YrPuz4v,333817,4
0.73,0.487,4,-10.991,1,0.0303,0.258,0.01,0.0852,0.731,114.965,audio_features,254bXAqt3zP6P50BdQvEsq,spotify:track:254bXAqt3zP6P50BdQvEsq,https://api.spotify.com/v1/tracks/254bXAqt3zP6P50BdQvEsq,https://api.spotify.com/v1/audio-analysis/254bXAqt3zP6P50BdQvEsq,226653,4
0.445,0.146,5,-16.064,1,0.0333,0.962,1.05e-05,0.249,0.332,86.637,audio_features,777zXDJpBufzttU4AJ2dGO,spotify:track:777zXDJpBufzttU4AJ2dGO,https://api.spotify.com/v1/tracks/777zXDJpBufzttU4AJ2dGO,https://api.spotify.com/v1/audio-analysis/777zXDJpBufzttU4AJ2dGO,181067,4
0.365,0.513,7,-13.034,0,0.0357,0.0208,0.000147,0.205,0.739,80.647,audio_features,37BTh5g05cxBIRYMbw8g2T,spotify:track:37BTh5g05cxBIRYMbw8g2T,https://api.spotify.com/v1/tracks/37BTh5g05cxBIRYMbw8g2T,https://api.spotify.com/v1/audio-analysis/37BTh5g05cxBIRYMbw8g2T,331200,4
0.481,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.832,0.375,122.861,audio_features,6mFkJmJqdDVQ1REhVfGgd1,spotify:track:6mFkJmJqdDVQ1REhVfGgd1,https://api.spotify.com/v1/tracks/6mFkJmJqdDVQ1REhVfGgd1,https://api.spotify.com/v1/audio-analysis/6mFkJmJqdDVQ1REhVfGgd1,334744,4
0.286,0.319,4,-12.932,0,0.032,0.00711,0.00897,0.0855,0.103,129.896,audio_features,4rEle6gif1VERA41tjOTIq,spotify:track:4rEle6gif1VERA41tjOTIq,https://api.spotify.com/v1/tracks/4rEle6gif1VERA41tjOTIq,https://api.spotify.com/v1/audio-analysis/4rEle6gif1VERA41tjOTIq,526823,4
0.268,0.459,7,-6.948,0,0.0346,0.378,0.0,0.119,0.172,64.223,audio_features,7ccI9cStQbQdystvc6TvxD,spotify:track:7ccI9cStQbQdystvc6TvxD,https://api.spotify.com/v1/tracks/7ccI9cStQbQdystvc6TvxD,https://api.spotify.com/v1/audio-analysis/7ccI9cStQbQdystvc6TvxD,179200,4
0.607,0.294,5,-11.836,1,0.0764,0.778,0.162,0.106,0.192,76.083,audio_features,2sW8fmnISifQTRgnRrQTYW,spotify:track:2sW8fmnISifQTRgnRrQTYW,https://api.spotify.com/v1/tracks/2sW8fmnISifQTRgnRrQTYW,https://api.spotify.com/v1/audio-analysis/2sW8fmnISifQTRgnRrQTYW,303973,4
0.579,0.12,9,-17.535,1,0.0309,0.783,0.0039,0.0682,0.434,75.919,audio_features,6BiIDKBxdtkn9SvFcouL4b,spotify:track:6BiIDKBxdtkn9SvFcouL4b,https://api.spotify.com/v1/tracks/6BiIDKBxdtkn9SvFcouL4b,https://api.spotify.com/v1/audio-analysis/6BiIDKBxdtkn9SvFcouL4b,281160,4
0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113.375,audio_features,39shmbIHICJ2Wxnk1fPSdz,spotify:track:39shmbIHICJ2Wxnk1fPSdz,https://api.spotify.com/v1/tracks/39shmbIHICJ2Wxnk1fPSdz,https://api.spotify.com/v1/audio-analysis/39shmbIHICJ2Wxnk1fPSdz,188987,4
0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,audio_features,5e9TFTbltYBg2xThimr0rU,spotify:track:5e9TFTbltYBg2xThimr0rU,https://api.spotify.com/v1/tracks/5e9TFTbltYBg2xThimr0rU,https://api.spotify.com/v1/audio-analysis/5e9TFTbltYBg2xThimr0rU,270213,4
0.534,0.392,9,-7.636,0,0.0267,0.649,0.000227,0.0948,0.163,90.379,audio_features,28cnXtME493VX9NOw9cIUh,spotify:track:28cnXtME493VX9NOw9cIUh,https://api.spotify.com/v1/tracks/28cnXtME493VX9NOw9cIUh,https://api.spotify.com/v1/audio-analysis/28cnXtME493VX9NOw9cIUh,216533,4
0.31,0.403,0,-13.664,1,0.0326,0.0726,9.27e-05,0.139,0.466,134.48,audio_features,72Z17vmmeQKAg8bptWvpVG,spotify:track:72Z17vmmeQKAg8bptWvpVG,https://api.spotify.com/v1/tracks/72Z17vmmeQKAg8bptWvpVG,https://api.spotify.com/v1/audio-analysis/72Z17vmmeQKAg8bptWvpVG,318027,4
0.776,0.867,3,-3.704,0,0.0479,0.0495,7.92e-06,0.197,0.918,138.827,audio_features,1OOtq8tRnDM8kG2gqUPjAj,spotify:track:1OOtq8tRnDM8kG2gqUPjAj,https://api.spotify.com/v1/tracks/1OOtq8tRnDM8kG2gqUPjAj,https://api.spotify.com/v1/audio-analysis/1OOtq8tRnDM8kG2gqUPjAj,258040,4
0.294,0.641,11,-9.316,1,0.0291,0.0163,0.22,0.112,0.226,79.759,audio_features,3YRCqOhFifThpSRFJ1VWFM,spotify:track:3YRCqOhFifThpSRFJ1VWFM,https://api.spotify.com/v1/tracks/3YRCqOhFifThpSRFJ1VWFM,https://api.spotify.com/v1/audio-analysis/3YRCqOhFifThpSRFJ1VWFM,536067,4
0.472,0.366,11,-12.595,0,0.0286,0.15,0.312,0.0837,0.171,127.163,audio_features,5HNCy40Ni5BZJFw1TKzRsC,spotify:track:5HNCy40Ni5BZJFw1TKzRsC,https://api.spotify.com/v1/tracks/5HNCy40Ni5BZJFw1TKzRsC,https://api.spotify.com/v1/audio-analysis/5HNCy40Ni5BZJFw1TKzRsC,382297,4
0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,audio_features,1QEEqeFIZktqIpPI4jSVSF,spotify:track:1QEEqeFIZktqIpPI4jSVSF,https://api.spotify.com/v1/tracks/1QEEqeFIZktqIpPI4jSVSF,https://api.spotify.com/v1/audio-analysis/1QEEqeFIZktqIpPI4jSVSF,285133,4
0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179,audio_features,54eZmuggBFJbV7k248bTTt,spotify:track:54eZmuggBFJbV7k248bTTt,https://api.spotify.com/v1/tracks/54eZmuggBFJbV7k248bTTt,https://api.spotify.com/v1/audio-analysis/54eZmuggBFJbV7k248bTTt,252240,4
0.431,0.723,8,-5.887,1,0.0568,0.145,0.0,0.374,0.19,130.141,audio_features,7wuJGgpTNzbUyn26IOY6rj,spotify:track:7wuJGgpTNzbUyn26IOY6rj,https://api.spotify.com/v1/tracks/7wuJGgpTNzbUyn26IOY6rj,https://api.spotify.com/v1/audio-analysis/7wuJGgpTNzbUyn26IOY6rj,267360,4
0.651,0.87,0,-5.149,1,0.0318,0.103,0.00815,0.0979,0.729,103.857,audio_features,4OeFQtRyT7vsLnRTv7t8YT,spotify:track:4OeFQtRyT7vsLnRTv7t8YT,https://api.spotify.com/v1/tracks/4OeFQtRyT7vsLnRTv7t8YT,https://api.spotify.com/v1/audio-analysis/4OeFQtRyT7vsLnRTv7t8YT,330253,4
0.77,0.654,4,-6.108,1,0.0361,0.0539,0.00047,0.0819,0.685,114.82,audio_features,4v2rkl1mC3zVAz0nXMx9r4,spotify:track:4v2rkl1mC3zVAz0nXMx9r4,https://api.spotify.com/v1/tracks/4v2rkl1mC3zVAz0nXMx9r4,https://api.spotify.com/v1/audio-analysis/4v2rkl1mC3zVAz0nXMx9r4,229423,4
0.367,0.452,10,-10.422,1,0.0307,0.0353,0.00228,0.689,0.189,113.066,audio_features,54X78diSLoUDI3joC2bjMz,spotify:track:54X78diSLoUDI3joC2bjMz,https://api.spotify.com/v1/tracks/54X78diSLoUDI3joC2bjMz,https://api.spotify.com/v1/audio-analysis/54X78diSLoUDI3joC2bjMz,520787,4
0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,audio_features,1JSTJqkT5qHq8MDJnJbRE1,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,https://api.spotify.com/v1/tracks/1JSTJqkT5qHq8MDJnJbRE1,https://api.spotify.com/v1/audio-analysis/1JSTJqkT5qHq8MDJnJbRE1,253920,4
0.693,0.394,0,-15.882,1,0.0428,0.0782,0.000694,0.247,0.721,104.114,audio_features,4gMgiXfqyzZLMhsksGmbQV,spotify:track:4gMgiXfqyzZLMhsksGmbQV,https://api.spotify.com/v1/tracks/4gMgiXfqyzZLMhsksGmbQV,https://api.spotify.com/v1/audio-analysis/4gMgiXfqyzZLMhsksGmbQV,238747,4
0.463,0.382,5,-11.682,1,0.0278,0.897,0.263,0.108,0.638,74.573,audio_features,6Dq2LzijkY9WNPwBGDah4L,spotify:track:6Dq2LzijkY9WNPwBGDah4L,https://api.spotify.com/v1/tracks/6Dq2LzijkY9WNPwBGDah4L,https://api.spotify.com/v1/audio-analysis/6Dq2LzijkY9WNPwBGDah4L,209160,4
0.674,0.909,10,-3.369,0,0.0464,0.469,0.0131,0.105,0.969,103.942,audio_features,113bLFbp3F9MVN0w2KJ1ma,spotify:track:113bLFbp3F9MVN0w2KJ1ma,https://api.spotify.com/v1/tracks/113bLFbp3F9MVN0w2KJ1ma,https://api.spotify.com/v1/audio-analysis/113bLFbp3F9MVN0w2KJ1ma,243760,4
0.249,0.834,0,-8.21,1,0.0577,0.0738,9.48e-05,0.0924,0.338,118.223,audio_features,5EWPGh7jbTNO2wakv8LjUI,spotify:track:5EWPGh7jbTNO2wakv8LjUI,https://api.spotify.com/v1/tracks/5EWPGh7jbTNO2wakv8LjUI,https://api.spotify.com/v1/audio-analysis/5EWPGh7jbTNO2wakv8LjUI,547107,4
0.481,0.692,8,-10.038,1,0.057,0.76,0.000694,0.178,0.487,97.92,audio_features,1R0GOPjljIJ997WnDXWW88,spotify:track:1R0GOPjljIJ997WnDXWW88,https://api.spotify.com/v1/tracks/1R0GOPjljIJ997WnDXWW88,https://api.spotify.com/v1/audio-analysis/1R0GOPjljIJ997WnDXWW88,231093,4
0.454,0.788,6,-6.748,1,0.0371,0.574,0.000766,0.0859,0.52,126.15,audio_features,3oEkrIfXfSh9zGnE7eBzSV,spotify:track:3oEkrIfXfSh9zGnE7eBzSV,https://api.spotify.com/v1/tracks/3oEkrIfXfSh9zGnE7eBzSV,https://api.spotify.com/v1/audio-analysis/3oEkrIfXfSh9zGnE7eBzSV,294720,4
0.743,0.572,0,-9.627,1,0.0493,0.186,1.44e-05,0.163,0.675,122.658,audio_features,28285KFbyCq8sJofn58qlD,spotify:track:28285KFbyCq8sJofn58qlD,https://api.spotify.com/v1/tracks/28285KFbyCq8sJofn58qlD,https://api.spotify.com/v1/audio-analysis/28285KFbyCq8sJofn58qlD,178400,4
0.266,0.284,4,-13.171,1,0.0345,0.709,0.0274,0.112,0.14,104.564,audio_features,38DwzePhZtPxZJYgGuY7IY,spotify:track:38DwzePhZtPxZJYgGuY7IY,https://api.spotify.com/v1/tracks/38DwzePhZtPxZJYgGuY7IY,https://api.spotify.com/v1/audio-analysis/38DwzePhZtPxZJYgGuY7IY,229320,3
0.58,0.482,4,-5.357,1,0.0279,0.753,0.000958,0.073,0.199,67.616,audio_features,53XM8O6sQ4YzCq2jYgXuC6,spotify:track:53XM8O6sQ4YzCq2jYgXuC6,https://api.spotify.com/v1/tracks/53XM8O6sQ4YzCq2jYgXuC6,https://api.spotify.com/v1/audio-analysis/53XM8O6sQ4YzCq2jYgXuC6,270774,4
0.677,0.644,8,-9.337,0,0.0971,0.161,0.00178,0.106,0.536,151.065,audio_features,6I3Evf3nNhxFA5lSM37Y0v,spotify:track:6I3Evf3nNhxFA5lSM37Y0v,https://api.spotify.com/v1/tracks/6I3Evf3nNhxFA5lSM37Y0v,https://api.spotify.com/v1/audio-analysis/6I3Evf3nNhxFA5lSM37Y0v,202187,4
